model,dataset,complexity,samples,accuracy,sqlite_exec,pg_exec,avg_latency
Qwen2.5-1.5B,atis,Easy,268,11.194029850746269,83.2089552238806,75.0,1.6662832089552237
Qwen2.5-1.5B,atis,Medium,420,1.6666666666666667,58.57142857142858,51.90476190476191,2.787721428571429
Qwen2.5-1.5B,atis,Hard,3835,3.8331160365058667,29.882659713168184,19.921773142112126,3.900536114732725
Qwen2.5-1.5B,atis,Extra Hard,757,1.5852047556142668,22.457067371202115,18.361955085865258,3.960483751651255
Qwen2.5-1.5B,custom,Easy,25,48.0,96.0,96.0,1.317228
Qwen2.5-1.5B,custom,Medium,25,72.0,100.0,100.0,1.7361199999999999
Qwen2.5-1.5B,custom,Hard,25,24.0,40.0,32.0,2.6306119999999997
Qwen2.5-1.5B,custom,Extra Hard,25,32.0,100.0,32.0,2.1949
Qwen2.5-1.5B,geography,Easy,484,7.644628099173553,79.75206611570248,79.75206611570248,1.2789204545454544
Qwen2.5-1.5B,geography,Medium,32,34.375,90.625,87.5,1.8396124999999999
Qwen2.5-1.5B,geography,Hard,1,0.0,0.0,0.0,2.7427
Qwen2.5-1.5B,geography,Extra Hard,360,15.833333333333332,79.44444444444444,78.05555555555556,1.7323669444444445
Qwen2.5-1.5B,spider,Easy,3466,57.41488747836122,81.27524523946913,12.867859203693019,2.035748990190421
Qwen2.5-1.5B,spider,Medium,4046,38.30944142362828,63.69253583786456,4.39940682155215,3.2162838853188336
Qwen2.5-1.5B,spider,Hard,670,21.19402985074627,28.059701492537314,1.6417910447761193,2.7196977611940296
Qwen2.5-1.5B,spider,Extra Hard,1511,33.81866313699537,62.67372600926539,10.655195234943745,2.7916371939113174
TinyLlama,atis,Easy,268,1.4925373134328357,8.955223880597014,13.059701492537313,4.012967164179105
TinyLlama,atis,Medium,420,0.0,2.142857142857143,1.1904761904761905,3.855937380952381
TinyLlama,atis,Hard,3835,0.1303780964797914,0.8604954367666232,0.7822685788787485,3.8157452151238593
TinyLlama,atis,Extra Hard,757,0.0,3.038309114927345,1.453104359313078,4.15102179656539
TinyLlama,custom,Easy,25,24.0,100.0,100.0,3.064332
TinyLlama,custom,Medium,25,32.0,100.0,72.0,3.01178
TinyLlama,custom,Hard,25,0.0,0.0,0.0,2.979948
TinyLlama,custom,Extra Hard,25,0.0,0.0,0.0,3.056576
TinyLlama,geography,Easy,484,5.578512396694215,62.603305785123965,62.396694214876035,2.8766925619834707
TinyLlama,geography,Medium,32,0.0,31.25,25.0,2.9529625
TinyLlama,geography,Hard,1,0.0,0.0,0.0,2.8501
TinyLlama,geography,Extra Hard,360,1.1111111111111112,60.0,57.22222222222222,2.7690825
TinyLlama,spider,Easy,3466,17.02250432775534,54.87593768032314,8.770917484131564,4.666969907674552
TinyLlama,spider,Medium,4046,11.61641127039051,41.02817597627286,4.424122590212556,4.11071329708354
TinyLlama,spider,Hard,670,11.044776119402986,18.507462686567163,3.134328358208955,3.373728805970149
TinyLlama,spider,Extra Hard,1511,12.177365982792852,40.370615486432825,6.684315023163467,6.1025401720714765
